,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
260235,2015-05-06,ZEEL,505537,A ,317.1,317.1,308.1,312.6,315.2,3421,19755735.0
263241,2015-05-07,ZEEL,505537,A ,310.15,312.0,307.8,309.85,312.6,2799,16400422.0
266203,2015-05-08,ZEEL,505537,A ,310.6,315.0,307.75,309.9,309.85,1322,7082522.0
269184,2015-05-11,ZEEL,505537,A ,309.95,318.85,309.95,316.95,309.9,2123,26255325.0
272162,2015-05-12,ZEEL,505537,A ,317.0,318.0,305.25,308.25,316.95,1305,17188913.0
275131,2015-05-13,ZEEL,505537,A ,308.0,309.3,302.0,305.1,308.25,2953,94974434.0
278103,2015-05-14,ZEEL,505537,A ,307.1,307.1,301.0,304.5,305.1,1065,16063596.0
281074,2015-05-15,ZEEL,505537,A ,306.4,306.4,299.65,301.05,304.5,2103,237008335.0
284041,2015-05-18,ZEEL,505537,A ,300.25,314.0,300.0,311.35,301.05,11887,2789563354.0
287031,2015-05-19,ZEEL,505537,A ,312.6,320.0,312.6,315.85,311.35,7255,147898668.0
290046,2015-05-20,ZEEL,505537,A ,316.8,320.35,313.75,318.3,315.85,2058,27526392.0
293057,2015-05-21,ZEEL,505537,A ,318.5,323.35,312.2,316.9,318.3,10835,326727905.0
296030,2015-05-22,ZEEL,505537,A ,318.5,322.5,316.9,318.85,316.9,2937,59608940.0
299007,2015-05-25,ZEEL,505537,A ,318.85,321.7,315.55,320.05,318.85,1224,19478248.0
301970,2015-05-26,ZEEL,505537,A ,320.05,320.75,316.6,319.1,320.05,643,10761181.0
304913,2015-05-27,ZEEL,505537,A ,325.0,325.0,316.7,320.05,319.1,1547,34952434.0
307797,2015-05-28,ZEEL,505537,A ,321.0,322.45,317.2,318.1,320.05,1419,41169440.0
310725,2015-05-29,ZEEL,505537,A ,319.45,326.15,318.25,323.8,318.1,2055,34524819.0
313677,2015-06-01,ZEEL,505537,A ,323.0,323.65,319.05,319.7,323.8,992,12770763.0
316696,2015-06-02,ZEEL,505537,A ,318.0,329.8,318.0,326.95,319.7,3312,58143783.0
319640,2015-06-03,ZEEL,505537,A ,329.55,332.2,318.15,321.95,326.95,2508,44194827.0
322617,2015-06-04,ZEEL,505537,A ,324.0,327.5,320.0,325.45,321.95,2686,25883522.0
325538,2015-06-05,ZEEL,505537,A ,323.0,338.1,320.6,336.4,325.45,3735,49884415.0
328489,2015-06-08,ZEEL,505537,A ,338.9,341.85,330.5,331.5,336.4,2945,34714823.0
331404,2015-06-09,ZEEL,505537,A ,332.0,335.0,325.5,327.6,331.5,1612,19639066.0
334324,2015-06-10,ZEEL,505537,A ,328.7,336.0,326.7,334.25,327.6,1133,14821923.0
337250,2015-06-11,ZEEL,505537,A ,339.2,340.2,330.45,332.2,334.25,1249,15512112.0
340172,2015-06-12,ZEEL,505537,A ,333.25,335.95,331.0,333.05,332.2,1071,12925946.0
343084,2015-06-15,ZEEL,505537,A ,333.5,340.55,331.7,338.8,333.05,2045,41605878.0
346013,2015-06-16,ZEEL,505537,A ,338.9,347.35,334.7,345.35,338.8,2018,26671863.0
348954,2015-06-17,ZEEL,505537,A ,346.5,352.65,341.5,350.8,345.35,3285,43261455.0
351901,2015-06-18,ZEEL,505537,A ,351.0,353.65,345.55,346.65,350.8,1705,17142163.0
354906,2015-06-19,ZEEL,505537,A ,348.6,349.15,339.9,340.9,346.65,1250,9223488.0
357867,2015-06-22,ZEEL,505537,A ,340.0,346.9,339.45,345.5,340.9,2078,20821801.0
360858,2015-06-23,ZEEL,505537,A ,346.35,346.8,338.8,344.6,345.5,1341,13706191.0
363822,2015-06-24,ZEEL,505537,A ,344.0,357.65,344.0,354.25,344.6,3292,44188681.0
366813,2015-06-25,ZEEL,505537,A ,354.85,363.0,352.65,359.05,354.25,2845,36974119.0
369755,2015-06-26,ZEEL,505537,A ,357.0,360.95,353.8,359.45,359.05,1977,29971412.0
