,date,symbol,sc_code,sc_group,open,high,low,close,prev_close,volume,turnover
2896719,2018-11-13,AMBER,540902,B ,863.7,868.35,833.0,847.0,857.75,74,461620.0
2899619,2018-11-14,AMBER,540902,B ,863.8,865.1,856.05,857.05,847.0,14,91287.0
2902521,2018-11-15,AMBER,540902,B ,857.1,865.0,855.0,859.85,857.05,51,339227.0
2905483,2018-11-16,AMBER,540902,B ,859.25,868.0,842.0,854.3,859.85,62,368385.0
2908443,2018-11-19,AMBER,540902,B ,855.2,900.0,855.2,895.4,854.3,123,551728.0
2911365,2018-11-20,AMBER,540902,B ,880.0,905.0,875.75,896.95,895.4,107,637983.0
2914254,2018-11-21,AMBER,540902,B ,899.0,915.0,896.55,906.95,896.95,48,260294.0
2917167,2018-11-22,AMBER,540902,B ,915.0,916.9,906.05,909.2,906.95,119,625975.0
2920102,2018-11-26,AMBER,540902,B ,918.4,918.4,898.4,906.55,909.2,80,601439.0
2923020,2018-11-27,AMBER,540902,B ,909.0,928.2,895.0,916.5,906.55,57,350730.0
2925966,2018-11-28,AMBER,540902,B ,906.1,926.05,905.0,908.2,916.5,24,180993.0
2928888,2018-11-29,AMBER,540902,B ,915.0,915.0,909.95,910.0,908.2,23,191262.0
2931798,2018-11-30,AMBER,540902,B ,915.0,923.0,902.2,919.5,910.0,32,230032.0
2934750,2018-12-03,AMBER,540902,B ,914.95,945.0,914.2,928.55,919.5,85,591415.0
2937654,2018-12-04,AMBER,540902,B ,915.1,932.95,909.15,915.55,928.55,36,252637.0
2940533,2018-12-05,AMBER,540902,B ,909.0,918.45,895.0,900.2,915.55,25,171368.0
2943414,2018-12-06,AMBER,540902,B ,896.4,902.35,859.0,865.55,900.2,266,840114.0
2946305,2018-12-07,AMBER,540902,B ,873.0,878.85,867.05,873.4,865.55,16,78593.0
2949173,2018-12-10,AMBER,540902,B ,865.0,876.45,850.55,874.6,873.4,76,530186.0
2951898,2018-12-11,AMBER,540902,B ,850.05,884.5,850.05,881.1,874.6,46,283387.0
2954762,2018-12-12,AMBER,540902,B ,880.0,889.0,870.0,876.5,881.1,66,467830.0
2957621,2018-12-13,AMBER,540902,B ,913.0,913.0,872.3,878.65,876.5,36,330220.0
2960501,2018-12-14,AMBER,540902,B ,883.8,884.0,875.0,875.05,878.65,11,45806.0
2963415,2018-12-17,AMBER,540902,B ,879.0,890.0,875.95,884.0,875.05,23,231274.0
2966326,2018-12-18,AMBER,540902,B ,893.1,893.1,881.0,886.2,884.0,16,69247.0
2969288,2018-12-19,AMBER,540902,B ,891.05,950.0,887.45,925.7,886.2,489,2438954.0
2972211,2018-12-20,AMBER,540902,B ,935.1,935.1,909.75,922.05,925.7,95,494496.0
2975115,2018-12-21,AMBER,540902,B ,920.75,925.0,910.0,921.7,922.05,81,500301.0
2977988,2018-12-24,AMBER,540902,B ,914.3,929.9,914.3,924.45,921.7,33,155526.0
2980857,2018-12-26,AMBER,540902,B ,920.0,920.0,888.3,897.6,924.45,100,689120.0
2983787,2018-12-27,AMBER,540902,B ,889.0,931.0,889.0,910.05,897.6,118,576233.0
2986755,2018-12-28,AMBER,540902,B ,911.0,920.0,895.15,907.55,910.05,86,414369.0
2989722,2018-12-31,AMBER,540902,B ,918.9,918.9,900.0,906.25,907.55,48,266104.0
2992602,2019-01-01,AMBER,540902,B ,908.5,910.2,902.9,908.15,906.25,37,214140.0
2995484,2019-01-02,AMBER,540902,B ,899.25,911.85,895.0,899.25,908.15,44,338257.0
2998378,2019-01-03,AMBER,540902,B ,899.45,905.0,895.0,897.35,899.25,44,505761.0
3001324,2019-01-04,AMBER,540902,B ,910.0,918.45,905.85,916.2,897.35,80,227127.0
3004307,2019-01-07,AMBER,540902,B ,917.0,917.0,911.35,912.25,916.2,51,154278.0
